slot,cell_id,ue_id,sinr_db,se_bps_hz,n_layers
10,4,24,-14.32,0.0524,2
10,4,25,-17.30,0.0266,2
10,4,26,-6.56,0.2881,2
10,4,27,-3.43,0.5404,2
10,4,28,-25.80,0.0038,2
10,4,29,5.01,2.0597,2
10,4,30,-0.41,0.9340,2
10,4,31,-18.78,0.0190,2
10,4,32,-36.17,0.0003,2
10,4,33,-29.06,0.0018,2
10,4,34,-15.89,0.0367,2
10,4,35,2.42,1.4573,2
10,4,36,0.40,1.0672,2
10,4,37,-38.23,0.0002,2
10,4,38,-25.22,0.0043,2
10,4,39,-16.10,0.0350,2
10,4,40,-31.39,0.0010,2
10,4,41,-26.75,0.0030,2
10,5,0,-11.52,0.0983,2
10,5,1,-38.66,0.0002,2
10,5,2,-24.22,0.0054,2
10,5,3,-13.14,0.0684,2
10,5,4,-9.67,0.1478,2
10,5,5,-8.38,0.1956,2
10,5,6,-7.92,0.2159,2
10,5,7,-1.40,0.7862,2
10,5,8,7.40,2.6987,2
10,5,9,-11.65,0.0955,2
10,5,10,-18.90,0.0185,2
10,5,11,3.47,1.6878,2
10,5,12,-18.32,0.0211,2
10,5,13,-20.68,0.0123,2
10,5,14,-10.22,0.1311,2
10,5,15,-32.07,0.0009,2
10,5,16,-24.30,0.0053,2
10,5,17,-22.42,0.0082,2
10,5,18,-23.64,0.0062,2
10,5,19,0.58,1.0992,2
10,5,20,0.17,1.0289,2
10,5,21,-22.60,0.0079,2
10,5,22,-28.79,0.0019,2
10,5,23,-9.48,0.1541,2
10,5,24,-15.84,0.0371,2
10,5,25,-30.17,0.0014,2
10,5,26,0.82,1.1427,2
10,5,27,-10.64,0.1194,2
10,5,28,-6.94,0.2660,2
10,5,29,-8.04,0.2103,2
10,5,30,94.18,31.2850,2
10,5,31,9.33,3.2585,2
10,5,32,9.15,3.2055,2
10,5,33,56.11,18.6402,2
10,5,34,-4.57,0.4318,2
10,5,35,43.22,14.3585,2
10,5,36,-12.76,0.0744,2
10,5,37,-18.85,0.0187,2
10,5,38,-19.30,0.0169,2
10,5,39,-6.95,0.2652,2
10,5,40,-10.64,0.1195,2
10,5,41,-19.97,0.0144,2
10,6,0,-30.27,0.0014,2
10,6,1,-32.35,0.0008,2
10,6,2,-32.66,0.0008,2
10,6,3,-30.87,0.0012,2
10,6,4,-23.88,0.0059,2
10,6,5,-39.43,0.0002,2
10,6,6,-20.96,0.0115,2
10,6,7,0.23,1.0386,2
10,6,8,-46.98,0.0000,2
10,6,9,-41.81,0.0001,2
10,6,10,-33.64,0.0006,2
10,6,11,-5.82,0.3356,2
10,6,12,-33.32,0.0007,2
10,6,13,-19.98,0.0144,2
10,6,14,-19.55,0.0159,2
10,6,15,-11.56,0.0973,2
10,6,16,-42.47,0.0001,2
10,6,17,-19.99,0.0144,2
10,6,18,-43.42,0.0001,2
10,6,19,-18.60,0.0198,2
10,6,20,-0.19,0.9686,2
10,6,21,-41.12,0.0001,2
10,6,22,-32.09,0.0009,2
10,6,23,3.84,1.7739,2
10,6,24,-27.64,0.0025,2
10,6,25,-14.60,0.0491,2
10,6,26,-31.19,0.0011,2
10,6,27,-30.36,0.0013,2
10,6,28,-29.27,0.0017,2
10,6,29,-24.15,0.0055,2
10,6,30,-22.53,0.0080,2
10,6,31,-21.57,0.0100,2
10,6,32,-23.12,0.0070,2
10,6,33,-23.60,0.0063,2
10,6,34,-37.46,0.0003,2
10,6,35,-14.10,0.0551,2
10,6,36,-4.91,0.4033,2
10,6,37,1.32,1.2356,2
10,6,38,-2.88,0.6001,2
10,6,39,-12.03,0.0877,2
10,6,40,-4.67,0.4237,2
10,6,41,-7.25,0.2490,2
11,0,0,9.54,3.3202,2
11,0,1,13.82,4.6482,2
11,0,2,51.76,17.1952,2
11,0,3,-0.03,0.9948,2
11,0,4,20.46,6.8095,2
11,0,5,0.53,1.0907,2
11,0,6,-12.44,0.0801,2
11,0,7,30.23,10.0427,2
11,0,8,-3.48,0.5347,2
11,0,9,-15.93,0.0364,2
11,0,10,-1.71,0.7440,2
11,0,11,11.64,3.9619,2
11,0,12,-14.56,0.0496,2
11,0,13,-17.08,0.0280,2
11,0,14,-16.10,0.0350,2
11,0,15,-20.06,0.0142,2
11,0,16,-17.00,0.0285,2
11,0,17,-10.03,0.1367,2
11,0,18,-10.45,0.1246,2
11,0,19,-1.23,0.8103,2
11,0,20,24.70,8.2099,2
11,0,21,3.64,1.7276,2
11,0,22,-16.79,0.0299,2
11,0,23,3.98,1.8082,2
11,0,24,-1.98,0.7086,2
11,0,25,-28.31,0.0021,2
11,0,26,-4.37,0.4500,2
11,0,27,-12.10,0.0863,2
11,0,28,-24.32,0.0053,2
11,0,29,-10.68,0.1184,2
11,0,30,9.53,3.3170,2
11,0,31,-11.89,0.0905,2
11,0,32,-17.74,0.0241,2
11,0,33,-15.84,0.0371,2
11,0,34,-4.04,0.4793,2
11,0,35,-8.15,0.2056,2
11,0,36,2.09,1.3892,2
11,0,37,-5.68,0.3451,2
11,0,38,-5.67,0.3456,2
11,0,39,-25.80,0.0038,2
11,0,40,11.42,3.8939,2
11,0,41,-18.31,0.0211,2
11,1,0,7.19,2.6402,2
11,1,1,-31.27,0.0011,2
11,1,2,0.22,1.0367,2
11,1,3,-6.63,0.2839,2
11,1,4,-8.24,0.2015,2
11,1,5,-18.21,0.0216,2
11,1,6,5.14,2.0927,2
11,1,7,5.63,2.2199,2
11,1,8,0.08,1.0127,2
11,1,9,-14.29,0.0528,2
11,1,10,-6.47,0.2935,2
11,1,11,71.22,23.6595,2
11,1,12,-25.12,0.0044,2
11,1,13,-8.51,0.1904,2
11,1,14,-15.39,0.0411,2
11,1,15,1.02,1.1795,2
11,1,16,-21.42,0.0104,2
11,1,17,-17.75,0.0240,2
11,1,18,-20.34,0.0133,2
11,1,19,-14.52,0.0500,2
11,1,20,0.08,1.0126,2
11,1,21,-14.45,0.0508,2
11,1,22,-28.97,0.0018,2
11,1,23,-2.25,0.6740,2
11,1,24,-22.40,0.0083,2
11,1,25,-15.42,0.0408,2
11,1,26,-8.89,0.1751,2
11,1,27,-25.85,0.0037,2
11,1,28,-15.49,0.0402,2
11,1,29,-9.39,0.1571,2
11,1,30,11.02,3.7709,2
11,1,31,-5.11,0.3878,2
11,1,32,-23.02,0.0072,2
11,1,33,-22.46,0.0082,2
11,1,34,-11.27,0.1038,2
11,1,35,14.61,4.9039,2
11,1,36,-4.53,0.4354,2
11,1,37,-11.45,0.0999,2
11,1,38,-28.40,0.0021,2
11,1,39,-22.82,0.0075,2
11,1,40,-13.61,0.0615,2
11,1,41,-23.77,0.0060,2
11,2,0,-19.07,0.0178,2
11,2,1,-7.48,0.2372,2
11,2,2,-15.60,0.0392,2
11,2,3,-4.90,0.4041,2
11,2,4,-23.00,0.0072,2
11,2,5,-32.52,0.0008,2
11,2,6,-10.47,0.1239,2
11,2,7,-9.16,0.1653,2
11,2,8,-7.33,0.2449,2
11,2,9,-13.71,0.0602,2
11,2,10,-26.12,0.0035,2
11,2,11,7.16,2.6322,2
11,2,12,10.60,3.6410,2
11,2,13,-28.96,0.0018,2
11,2,14,22.50,7.4838,2
11,2,15,-6.15,0.3133,2
11,2,16,-12.88,0.0724,2
11,2,17,5.99,2.3143,2
11,2,18,-3.39,0.5437,2
11,2,19,-6.20,0.3100,2
11,2,20,17.27,5.7627,2
11,2,21,5.65,2.2239,2
11,2,22,-20.80,0.0119,2
11,2,23,-3.32,0.5514,2
11,2,24,-7.45,0.2388,2
11,2,25,-17.90,0.0232,2
11,2,26,-39.45,0.0002,2
11,2,27,-14.26,0.0531,2
11,2,28,-18.00,0.0227,2
11,2,29,19.59,6.5249,2
11,2,30,-5.34,0.3697,2
11,2,31,-39.02,0.0002,2
11,2,32,-10.85,0.1139,2
11,2,33,-19.64,0.0156,2
11,2,34,-21.25,0.0108,2
11,2,35,3.27,1.6436,2
11,2,36,-10.84,0.1141,2
11,2,37,-35.07,0.0004,2
11,2,38,-12.69,0.0756,2
11,2,39,-5.00,0.3961,2
11,2,40,-7.97,0.2138,2
11,2,41,-11.07,0.1086,2
11,3,0,-1.91,0.7174,2
11,3,1,-5.13,0.3865,2
11,3,2,-1.07,0.8333,2
11,3,3,-8.24,0.2014,2
11,3,4,-7.78,0.2223,2
11,3,5,-6.81,0.2733,2
11,3,6,-5.00,0.3966,2
11,3,7,-11.19,0.1056,2
11,3,8,-18.68,0.0194,2
11,3,9,-15.00,0.0449,2
11,3,10,-12.78,0.0741,2
11,3,11,13.91,4.6775,2
11,3,12,-10.97,0.1110,2
11,3,13,-32.87,0.0007,2
11,3,14,-24.87,0.0047,2
11,3,15,-16.44,0.0324,2
11,3,16,-7.03,0.2608,2
11,3,17,2.76,1.5295,2
11,3,18,1.54,1.2788,2
11,3,19,12.70,4.2956,2
11,3,20,48.91,16.2490,2
11,3,21,23.82,7.9199,2
11,3,22,-20.27,0.0135,2
11,3,23,15.01,5.0302,2
11,3,24,-5.67,0.3462,2
11,3,25,-24.94,0.0046,2
11,3,26,-8.62,0.1857,2
11,3,27,-18.85,0.0187,2
11,3,28,-30.15,0.0014,2
11,3,29,-10.29,0.1290,2
11,3,30,-0.29,0.9533,2
11,3,31,-2.15,0.6861,2
11,3,32,5.56,2.2021,2
11,3,33,1.11,1.1961,2
11,3,34,-10.43,0.1250,2
11,3,35,1.64,1.2978,2
11,3,36,-12.42,0.0804,2
11,3,37,-28.16,0.0022,2
11,3,38,-9.46,0.1548,2
11,3,39,-32.89,0.0007,2
11,3,40,-15.73,0.0381,2
11,3,41,-1.55,0.7658,2
11,4,0,-22.17,0.0087,2
11,4,1,-31.85,0.0009,2
11,4,2,-28.26,0.0022,2
11,4,3,-8.38,0.1958,2
11,4,4,-24.46,0.0052,2
11,4,5,4.14,1.8462,2
11,4,6,-17.03,0.0283,2
11,4,7,-18.93,0.0183,2
11,4,8,-11.70,0.0945,2
11,4,9,-23.92,0.0058,2
11,4,10,-28.34,0.0021,2
11,4,11,-0.61,0.9027,2
11,4,12,-27.64,0.0025,2
11,4,13,-20.16,0.0138,2
11,4,14,-36.63,0.0003,2
11,4,15,-30.58,0.0013,2
11,4,16,-24.95,0.0046,2
11,4,17,-18.81,0.0188,2
11,4,18,-18.47,0.0204,2
11,4,19,-31.49,0.0010,2
11,4,20,-0.89,0.8594,2
11,4,21,-21.16,0.0110,2
11,4,22,-25.14,0.0044,2
11,4,23,5.27,2.1254,2
11,4,24,-14.32,0.0524,2
11,4,25,-17.30,0.0266,2
11,4,26,-6.56,0.2881,2
11,4,27,-3.43,0.5404,2
11,4,28,-25.80,0.0038,2
11,4,29,5.01,2.0597,2
11,4,30,-0.41,0.9340,2
11,4,31,-18.78,0.0190,2
11,4,32,-36.17,0.0003,2
11,4,33,-29.06,0.0018,2
11,4,34,-15.89,0.0367,2
11,4,35,2.42,1.4573,2
11,4,36,0.40,1.0672,2
11,4,37,-38.23,0.0002,2
11,4,38,-25.22,0.0043,2
11,4,39,-16.10,0.0350,2
11,4,40,-31.39,0.0010,2
11,4,41,-26.75,0.0030,2
11,5,0,-11.52,0.0983,2
11,5,1,-38.66,0.0002,2
11,5,2,-24.22,0.0054,2
11,5,3,-13.14,0.0684,2
11,5,4,-9.67,0.1478,2
11,5,5,-8.38,0.1956,2
11,5,6,-7.92,0.2159,2
11,5,7,-1.40,0.7862,2
11,5,8,7.40,2.6987,2
11,5,9,-11.65,0.0955,2
11,5,10,-18.90,0.0185,2
11,5,11,3.47,1.6878,2
11,5,12,-18.32,0.0211,2
11,5,13,-20.68,0.0123,2
11,5,14,-10.22,0.1311,2
11,5,15,-32.07,0.0009,2
11,5,16,-24.30,0.0053,2
11,5,17,-22.42,0.0082,2
11,5,18,-23.64,0.0062,2
11,5,19,0.58,1.0992,2
11,5,20,0.17,1.0289,2
11,5,21,-22.60,0.0079,2
11,5,22,-28.79,0.0019,2
11,5,23,-9.48,0.1541,2
11,5,24,-15.84,0.0371,2
11,5,25,-30.17,0.0014,2
11,5,26,0.82,1.1427,2
11,5,27,-10.64,0.1194,2
11,5,28,-6.94,0.2660,2
11,5,29,-8.04,0.2103,2
11,5,30,94.18,31.2850,2
11,5,31,9.33,3.2585,2
11,5,32,9.15,3.2055,2
11,5,33,56.11,18.6402,2
11,5,34,-4.57,0.4318,2
11,5,35,43.22,14.3585,2
11,5,36,-12.76,0.0744,2
11,5,37,-18.85,0.0187,2
11,5,38,-19.30,0.0169,2
11,5,39,-6.95,0.2652,2
11,5,40,-10.64,0.1195,2
11,5,41,-19.97,0.0144,2
11,6,0,-30.27,0.0014,2
11,6,1,-32.35,0.0008,2
11,6,2,-32.66,0.0008,2
11,6,3,-30.87,0.0012,2
11,6,4,-23.88,0.0059,2
11,6,5,-39.43,0.0002,2
11,6,6,-20.96,0.0115,2
11,6,7,0.23,1.0386,2
11,6,8,-46.98,0.0000,2
11,6,9,-41.81,0.0001,2
11,6,10,-33.64,0.0006,2
11,6,11,-5.82,0.3356,2
11,6,12,-33.32,0.0007,2
11,6,13,-19.98,0.0144,2
11,6,14,-19.55,0.0159,2
11,6,15,-11.56,0.0973,2
11,6,16,-42.47,0.0001,2
11,6,17,-19.99,0.0144,2
11,6,18,-43.42,0.0001,2
11,6,19,-18.60,0.0198,2
11,6,20,-0.19,0.9686,2
11,6,21,-41.12,0.0001,2
11,6,22,-32.09,0.0009,2
11,6,23,3.84,1.7739,2
11,6,24,-27.64,0.0025,2
11,6,25,-14.60,0.0491,2
11,6,26,-31.19,0.0011,2
11,6,27,-30.36,0.0013,2
11,6,28,-29.27,0.0017,2
11,6,29,-24.15,0.0055,2
11,6,30,-22.53,0.0080,2
11,6,31,-21.57,0.0100,2
11,6,32,-23.12,0.0070,2
11,6,33,-23.60,0.0063,2
11,6,34,-37.46,0.0003,2
11,6,35,-14.10,0.0551,2
11,6,36,-4.91,0.4033,2
11,6,37,1.32,1.2356,2
11,6,38,-2.88,0.6001,2
11,6,39,-12.03,0.0877,2
11,6,40,-4.67,0.4237,2
11,6,41,-7.25,0.2490,2
12,0,0,9.54,3.3202,2
12,0,1,13.82,4.6482,2
12,0,2,51.76,17.1952,2
12,0,3,-0.03,0.9948,2
12,0,4,20.46,6.8095,2
12,0,5,0.53,1.0907,2
12,0,6,-12.44,0.0801,2
12,0,7,30.23,10.0427,2
12,0,8,-3.48,0.5347,2
12,0,9,-15.93,0.0364,2
12,0,10,-1.71,0.7440,2
12,0,11,11.64,3.9619,2
12,0,12,-14.56,0.0496,2
12,0,13,-17.08,0.0280,2
12,0,14,-16.10,0.0350,2
12,0,15,-20.06,0.0142,2
12,0,16,-17.00,0.0285,2
12,0,17,-10.03,0.1367,2
12,0,18,-10.45,0.1246,2
12,0,19,-1.23,0.8103,2
12,0,20,24.70,8.2099,2
12,0,21,3.64,1.7276,2
12,0,22,-16.79,0.0299,2
12,0,23,3.98,1.8082,2
12,0,24,-1.98,0.7086,2
12,0,25,-28.31,0.0021,2
12,0,26,-4.37,0.4500,2
12,0,27,-12.10,0.0863,2
12,0,28,-24.32,0.0053,2
12,0,29,-10.68,0.1184,2
12,0,30,9.53,3.3170,2
12,0,31,-11.89,0.0905,2
12,0,32,-17.74,0.0241,2
12,0,33,-15.84,0.0371,2
12,0,34,-4.04,0.4793,2
12,0,35,-8.15,0.2056,2
12,0,36,2.09,1.3892,2
12,0,37,-5.68,0.3451,2
12,0,38,-5.67,0.3456,2
12,0,39,-25.80,0.0038,2
12,0,40,11.42,3.8939,2
12,0,41,-18.31,0.0211,2
12,1,0,7.19,2.6402,2
12,1,1,-31.27,0.0011,2
12,1,2,0.22,1.0367,2
12,1,3,-6.63,0.2839,2
12,1,4,-8.24,0.2015,2
12,1,5,-18.21,0.0216,2
12,1,6,5.14,2.0927,2
12,1,7,5.63,2.2199,2
12,1,8,0.08,1.0127,2
12,1,9,-14.29,0.0528,2
12,1,10,-6.47,0.2935,2
12,1,11,71.22,23.6595,2
12,1,12,-25.12,0.0044,2
12,1,13,-8.51,0.1904,2
12,1,14,-15.39,0.0411,2
12,1,15,1.02,1.1795,2
12,1,16,-21.42,0.0104,2
12,1,17,-17.75,0.0240,2
12,1,18,-20.34,0.0133,2
12,1,19,-14.52,0.0500,2
12,1,20,0.08,1.0126,2
12,1,21,-14.45,0.0508,2
12,1,22,-28.97,0.0018,2
12,1,23,-2.25,0.6740,2
12,1,24,-22.40,0.0083,2
12,1,25,-15.42,0.0408,2
12,1,26,-8.89,0.1751,2
12,1,27,-25.85,0.0037,2
12,1,28,-15.49,0.0402,2
12,1,29,-9.39,0.1571,2
12,1,30,11.02,3.7709,2
12,1,31,-5.11,0.3878,2
12,1,32,-23.02,0.0072,2
12,1,33,-22.46,0.0082,2
12,1,34,-11.27,0.1038,2
12,1,35,14.61,4.9039,2
12,1,36,-4.53,0.4354,2
12,1,37,-11.45,0.0999,2
12,1,38,-28.40,0.0021,2
12,1,39,-22.82,0.0075,2
12,1,40,-13.61,0.0615,2
12,1,41,-23.77,0.0060,2
12,2,0,-19.07,0.0178,2
12,2,1,-7.48,0.2372,2
12,2,2,-15.60,0.0392,2
12,2,3,-4.90,0.4041,2
12,2,4,-23.00,0.0072,2
12,2,5,-32.52,0.0008,2
12,2,6,-10.47,0.1239,2
12,2,7,-9.16,0.1653,2
12,2,8,-7.33,0.2449,2
12,2,9,-13.71,0.0602,2
12,2,10,-26.12,0.0035,2
12,2,11,7.16,2.6322,2
12,2,12,10.60,3.6410,2
12,2,13,-28.96,0.0018,2
12,2,14,22.50,7.4838,2
12,2,15,-6.15,0.3133,2
12,2,16,-12.88,0.0724,2
12,2,17,5.99,2.3143,2
12,2,18,-3.39,0.5437,2
12,2,19,-6.20,0.3100,2
12,2,20,17.27,5.7627,2
12,2,21,5.65,2.2239,2
12,2,22,-20.80,0.0119,2
12,2,23,-3.32,0.5514,2
12,2,24,-7.45,0.2388,2
12,2,25,-17.90,0.0232,2
12,2,26,-39.45,0.0002,2
12,2,27,-14.26,0.0531,2
12,2,28,-18.00,0.0227,2
12,2,29,19.59,6.5249,2
12,2,30,-5.34,0.3697,2
12,2,31,-39.02,0.0002,2
12,2,32,-10.85,0.1139,2
12,2,33,-19.64,0.0156,2
12,2,34,-21.25,0.0108,2
12,2,35,3.27,1.6436,2
12,2,36,-10.84,0.1141,2
12,2,37,-35.07,0.0004,2
12,2,38,-12.69,0.0756,2
12,2,39,-5.00,0.3961,2
12,2,40,-7.97,0.2138,2
12,2,41,-11.07,0.1086,2
12,3,0,-1.91,0.7174,2
12,3,1,-5.13,0.3865,2
12,3,2,-1.07,0.8333,2
12,3,3,-8.24,0.2014,2
12,3,4,-7.78,0.2223,2
12,3,5,-6.81,0.2733,2
12,3,6,-5.00,0.3966,2
12,3,7,-11.19,0.1056,2
12,3,8,-18.68,0.0194,2
12,3,9,-15.00,0.0449,2
12,3,10,-12.78,0.0741,2
12,3,11,13.91,4.6775,2
12,3,12,-10.97,0.1110,2
12,3,13,-32.87,0.0007,2
12,3,14,-24.87,0.0047,2
12,3,15,-16.44,0.0324,2
12,3,16,-7.03,0.2608,2
12,3,17,2.76,1.5295,2
12,3,18,1.54,1.2788,2
12,3,19,12.70,4.2956,2
12,3,20,48.91,16.2490,2
12,3,21,23.82,7.9199,2
12,3,22,-20.27,0.0135,2
12,3,23,15.01,5.0302,2
12,3,24,-5.67,0.3462,2
12,3,25,-24.94,0.0046,2
12,3,26,-8.62,0.1857,2
12,3,27,-18.85,0.0187,2
12,3,28,-30.15,0.0014,2
12,3,29,-10.29,0.1290,2
12,3,30,-0.29,0.9533,2
12,3,31,-2.15,0.6861,2
12,3,32,5.56,2.2021,2
12,3,33,1.11,1.1961,2
12,3,34,-10.43,0.1250,2
12,3,35,1.64,1.2978,2
12,3,36,-12.42,0.0804,2
12,3,37,-28.16,0.0022,2
12,3,38,-9.46,0.1548,2
12,3,39,-32.89,0.0007,2
12,3,40,-15.73,0.0381,2
12,3,41,-1.55,0.7658,2
12,4,0,-22.17,0.0087,2
12,4,1,-31.85,0.0009,2
12,4,2,-28.26,0.0022,2
12,4,3,-8.38,0.1958,2
12,4,4,-24.46,0.0052,2
12,4,5,4.14,1.8462,2
12,4,6,-17.03,0.0283,2
12,4,7,-18.93,0.0183,2
12,4,8,-11.70,0.0945,2
12,4,9,-23.92,0.0058,2
12,4,10,-28.34,0.0021,2
12,4,11,-0.61,0.9027,2
12,4,12,-27.64,0.0025,2
12,4,13,-20.16,0.0138,2
12,4,14,-36.63,0.0003,2
12,4,15,-30.58,0.0013,2
12,4,16,-24.95,0.0046,2
12,4,17,-18.81,0.0188,2
12,4,18,-18.47,0.0204,2
12,4,19,-31.49,0.0010,2
12,4,20,-0.89,0.8594,2
12,4,21,-21.16,0.0110,2
12,4,22,-25.14,0.0044,2
12,4,23,5.27,2.1254,2
12,4,24,-14.32,0.0524,2
12,4,25,-17.30,0.0266,2
12,4,26,-6.56,0.2881,2
12,4,27,-3.43,0.5404,2
12,4,28,-25.80,0.0038,2
12,4,29,5.01,2.0597,2
12,4,30,-0.41,0.9340,2
12,4,31,-18.78,0.0190,2
12,4,32,-36.17,0.0003,2
12,4,33,-29.06,0.0018,2
12,4,34,-15.89,0.0367,2
12,4,35,2.42,1.4573,2
12,4,36,0.40,1.0672,2
12,4,37,-38.23,0.0002,2
12,4,38,-25.22,0.0043,2
12,4,39,-16.10,0.0350,2
12,4,40,-31.39,0.0010,2
12,4,41,-26.75,0.0030,2
12,5,0,-11.52,0.0983,2
12,5,1,-38.66,0.0002,2
12,5,2,-24.22,0.0054,2
12,5,3,-13.14,0.0684,2
12,5,4,-9.67,0.1478,2
12,5,5,-8.38,0.1956,2
12,5,6,-7.92,0.2159,2
12,5,7,-1.40,0.7862,2
12,5,8,7.40,2.6987,2
12,5,9,-11.65,0.0955,2
12,5,10,-18.90,0.0185,2
12,5,11,3.47,1.6878,2
12,5,12,-18.32,0.0211,2
12,5,13,-20.68,0.0123,2
12,5,14,-10.22,0.1311,2
12,5,15,-32.07,0.0009,2
12,5,16,-24.30,0.0053,2
12,5,17,-22.42,0.0082,2
12,5,18,-23.64,0.0062,2
12,5,19,0.58,1.0992,2
12,5,20,0.17,1.0289,2
12,5,21,-22.60,0.0079,2
12,5,22,-28.79,0.0019,2
12,5,23,-9.48,0.1541,2
12,5,24,-15.84,0.0371,2
12,5,25,-30.17,0.0014,2
12,5,26,0.82,1.1427,2
12,5,27,-10.64,0.1194,2
12,5,28,-6.94,0.2660,2
12,5,29,-8.04,0.2103,2
12,5,30,94.18,31.2850,2
12,5,31,9.33,3.2585,2
12,5,32,9.15,3.2055,2
12,5,33,56.11,18.6402,2
12,5,34,-4.57,0.4318,2
12,5,35,43.22,14.3585,2
12,5,36,-12.76,0.0744,2
12,5,37,-18.85,0.0187,2
12,5,38,-19.30,0.0169,2
12,5,39,-6.95,0.2652,2
12,5,40,-10.64,0.1195,2
12,5,41,-19.97,0.0144,2
12,6,0,-30.27,0.0014,2
12,6,1,-32.35,0.0008,2
12,6,2,-32.66,0.0008,2
12,6,3,-30.87,0.0012,2
12,6,4,-23.88,0.0059,2
12,6,5,-39.43,0.0002,2
12,6,6,-20.96,0.0115,2
12,6,7,0.23,1.0386,2
12,6,8,-46.98,0.0000,2
12,6,9,-41.81,0.0001,2
12,6,10,-33.64,0.0006,2
12,6,11,-5.82,0.3356,2
12,6,12,-33.32,0.0007,2
12,6,13,-19.98,0.0144,2
12,6,14,-19.55,0.0159,2
12,6,15,-11.56,0.0973,2
12,6,16,-42.47,0.0001,2
12,6,17,-19.99,0.0144,2
12,6,18,-43.42,0.0001,2
12,6,19,-18.60,0.0198,2
12,6,20,-0.19,0.9686,2
12,6,21,-41.12,0.0001,2
12,6,22,-32.09,0.0009,2
12,6,23,3.84,1.7739,2
12,6,24,-27.64,0.0025,2
12,6,25,-14.60,0.0491,2
12,6,26,-31.19,0.0011,2
12,6,27,-30.36,0.0013,2
12,6,28,-29.27,0.0017,2
12,6,29,-24.15,0.0055,2
12,6,30,-22.53,0.0080,2
12,6,31,-21.57,0.0100,2
12,6,32,-23.12,0.0070,2
12,6,33,-23.60,0.0063,2
12,6,34,-37.46,0.0003,2
12,6,35,-14.10,0.0551,2
12,6,36,-4.91,0.4033,2
12,6,37,1.32,1.2356,2
12,6,38,-2.88,0.6001,2
12,6,39,-12.03,0.0877,2
12,6,40,-4.67,0.4237,2
12,6,41,-7.25,0.2490,2
13,0,0,9.54,3.3202,2
13,0,1,13.82,4.6482,2
13,0,2,51.76,17.1952,2
13,0,3,-0.03,0.9948,2
13,0,4,20.46,6.8095,2
13,0,5,0.53,1.0907,2
13,0,6,-12.44,0.0801,2
13,0,7,30.23,10.0427,2
13,0,8,-3.48,0.5347,2
13,0,9,-15.93,0.0364,2
13,0,10,-1.71,0.7440,2
13,0,11,11.64,3.9619,2
13,0,12,-14.56,0.0496,2
13,0,13,-17.08,0.0280,2
13,0,14,-16.10,0.0350,2
13,0,15,-20.06,0.0142,2
13,0,16,-17.00,0.0285,2
13,0,17,-10.03,0.1367,2
13,0,18,-10.45,0.1246,2
13,0,19,-1.23,0.8103,2
13,0,20,24.70,8.2099,2
13,0,21,3.64,1.7276,2
13,0,22,-16.79,0.0299,2
13,0,23,3.98,1.8082,2
13,0,24,-1.98,0.7086,2
13,0,25,-28.31,0.0021,2
13,0,26,-4.37,0.4500,2
13,0,27,-12.10,0.0863,2
13,0,28,-24.32,0.0053,2
13,0,29,-10.68,0.1184,2
13,0,30,9.53,3.3170,2
13,0,31,-11.89,0.0905,2
13,0,32,-17.74,0.0241,2
13,0,33,-15.84,0.0371,2
13,0,34,-4.04,0.4793,2
13,0,35,-8.15,0.2056,2
13,0,36,2.09,1.3892,2
13,0,37,-5.68,0.3451,2
13,0,38,-5.67,0.3456,2
13,0,39,-25.80,0.0038,2
13,0,40,11.42,3.8939,2
13,0,41,-18.31,0.0211,2
13,1,0,7.19,2.6402,2
13,1,1,-31.27,0.0011,2
13,1,2,0.22,1.0367,2
13,1,3,-6.63,0.2839,2
13,1,4,-8.24,0.2015,2
13,1,5,-18.21,0.0216,2
13,1,6,5.14,2.0927,2
13,1,7,5.63,2.2199,2
13,1,8,0.08,1.0127,2
13,1,9,-14.29,0.0528,2
13,1,10,-6.47,0.2935,2
13,1,11,71.22,23.6595,2
13,1,12,-25.12,0.0044,2
13,1,13,-8.51,0.1904,2
13,1,14,-15.39,0.0411,2
13,1,15,1.02,1.1795,2
13,1,16,-21.42,0.0104,2
13,1,17,-17.75,0.0240,2
13,1,18,-20.34,0.0133,2
13,1,19,-14.52,0.0500,2
13,1,20,0.08,1.0126,2
13,1,21,-14.45,0.0508,2
13,1,22,-28.97,0.0018,2
13,1,23,-2.25,0.6740,2
13,1,24,-22.40,0.0083,2
13,1,25,-15.42,0.0408,2
13,1,26,-8.89,0.1751,2
13,1,27,-25.85,0.0037,2
13,1,28,-15.49,0.0402,2
13,1,29,-9.39,0.1571,2
13,1,30,11.02,3.7709,2
13,1,31,-5.11,0.3878,2
13,1,32,-23.02,0.0072,2
13,1,33,-22.46,0.0082,2
13,1,34,-11.27,0.1038,2
13,1,35,14.61,4.9039,2
13,1,36,-4.53,0.4354,2
13,1,37,-11.45,0.0999,2
13,1,38,-28.40,0.0021,2
13,1,39,-22.82,0.0075,2
13,1,40,-13.61,0.0615,2
13,1,41,-23.77,0.0060,2
13,2,0,-19.07,0.0178,2
13,2,1,-7.48,0.2372,2
13,2,2,-15.60,0.0392,2
13,2,3,-4.90,0.4041,2
13,2,4,-23.00,0.0072,2
13,2,5,-32.52,0.0008,2
13,2,6,-10.47,0.1239,2
13,2,7,-9.16,0.1653,2
13,2,8,-7.33,0.2449,2
13,2,9,-13.71,0.0602,2
